smiles,Hf_298,S_298,Cp_300,Cp_400,Cp_500,Cp_600,Cp_800,Cp_1000,Cp_1500
[CH2]C(O)=COC,-40.0703,83.7668,29.5810,35.8474,40.7948,44.9454,51.3996,55.8993,61.8759
[CH2]CC(CO)OO,-40.0482,102.1590,38.6470,45.4463,50.9261,55.4019,62.2699,67.2547,74.5100
[O]CCO,-39.9369,70.2290,19.7927,24.6168,28.6017,31.6102,35.7387,38.3889,41.5598
[O]OCC(=O)C1(C=O)OO1,-39.9304,111.4234,36.1610,41.7113,46.3805,50.2579,56.0351,59.7698,63.9544
O[CH]CCOO,-39.8523,87.5626,31.7722,38.9258,43.9648,47.8709,53.6744,57.4159,61.6594
CC(=O)CC[O],-39.6055,87.3892,25.8794,31.7358,36.9576,41.4528,48.5799,53.7009,60.8507
O=CC1[CH]OCOO1,-39.5766,87.8846,29.0191,35.9415,41.3659,45.9068,52.9361,57.7995,64.1585
OOC1O[CH]O1,-39.5102,78.1999,22.6343,27.5939,31.2260,33.8566,37.7544,40.3272,43.4406
O=C1C[CH]C=C1O,-39.4685,77.9435,24.7167,31.4089,36.9970,41.6174,48.7341,53.6084,59.7616
CO[CH]OC,-39.3651,83.7955,25.9553,29.6665,33.1217,36.4521,42.1575,46.5518,53.4942
[O]OCC1OOCC1OO,-39.3462,111.3973,40.1283,47.6608,54.2304,59.8262,68.5436,74.6355,82.7303
[O]OC1C=COC1=O,-39.3389,87.1641,25.6095,31.3462,36.2906,40.3050,45.8455,49.5410,54.5578
C=CC[CH]OC(C)=O,-39.2694,104.1119,34.9407,42.9436,49.9769,55.9892,65.4095,72.0493,80.9783
[CH2]C1(C)CCC(=O)OO1,-39.2184,95.2350,37.1018,46.1616,53.6543,60.0489,70.1314,77.3243,87.3278
CCC(=O)CO[O],-39.1726,94.6921,32.2258,37.7617,42.5701,46.7278,53.3762,58.2321,65.3219
C=[C]OCOOC(C)=O,-39.1263,110.7464,39.6753,46.0349,51.7042,56.5549,64.1680,69.5508,76.8474
C[C]1CCC(=O)OOC1,-39.0439,94.1326,34.4435,43.2331,51.2914,58.4036,69.4742,76.8991,87.8513
CC(C)([O])C=CO,-38.8352,88.6831,32.8988,40.4553,47.0116,52.6708,61.6812,68.1938,77.3405
C=CCC(=O)O[CH]C,-38.8239,105.3673,35.6553,43.1654,49.9763,55.8380,65.1247,71.7843,81.0079
C=C(C)CCC([O])=O,-38.7031,104.4503,33.1905,40.6670,47.5160,53.4470,62.9422,69.8695,79.8110
CCC([O])OO,-38.6918,91.4503,28.5013,33.8801,38.6045,42.6665,49.0973,53.7142,60.2026
CC(=O)C1(O[O])CO1,-38.6344,95.4823,31.1641,36.8977,41.7089,45.7324,51.8910,56.1946,62.3860
CC(=O)O[O],-38.5523,76.4591,19.7058,22.7427,25.3679,27.6238,31.1865,33.7263,37.2196
CO[CH]C=O,-38.4946,77.6838,21.8465,25.7975,29.4097,32.5759,37.6540,41.3681,46.7146
CCC(COO)O[O],-38.4251,106.4104,41.5257,48.0109,53.2649,57.7751,65.2143,70.7925,79.2232
[CH2]C1(C)CC(=O)CO1,-38.4203,91.9520,34.1940,42.3774,49.4427,55.5107,65.1029,71.9776,81.6449
[O]C1CCCO1,-38.4041,78.8430,22.7569,29.5421,35.5519,40.6492,48.7180,54.5185,62.6266
C[C](C=O)C=O,-38.3954,82.4627,24.6119,28.8625,32.8011,36.4153,42.2680,46.5203,52.4815
COC([CH]COO)OO,-38.2680,108.7715,45.0262,52.6988,59.2756,64.8129,73.2674,78.9773,86.0471
CO[C]=O,-38.1704,70.5737,14.8887,17.5014,19.9953,22.1560,25.6155,28.1338,31.6907
[O]CC1OOCC1=O,-38.1504,90.1316,29.1894,35.8692,41.6321,46.3652,53.1446,57.8384,64.4067
CCC(=O)C[O],-38.1051,88.2955,26.8835,32.3169,37.2693,41.5590,48.4313,53.4532,60.7030
[O]OC1C=CC(O)C1=O,-37.9413,97.1883,32.8767,39.4890,45.1981,50.0555,57.4771,62.3899,68.8908
[CH2]CC(=O)OO,-37.8935,88.1610,26.8035,31.4771,35.4746,38.8589,44.0772,47.6632,52.2808
[O]C1OOCC1=O,-37.8358,81.0330,24.2066,29.6092,33.7002,37.0009,42.0738,45.5424,49.9762
[CH2]OC=O,-37.7636,71.6660,17.4998,20.2459,22.7707,24.9167,28.2248,30.4859,33.2781
CC(CO[O])COO,-37.6364,104.0558,40.5018,47.5396,53.5647,58.6929,66.6853,72.2981,80.0070
C=CC(O)C=CC(=O)O[O],-37.4959,112.2418,43.3077,50.2704,56.1224,61.1198,68.9509,74.4823,82.0336
C=C(COO)C(=O)O[O],-37.4587,102.6407,40.3004,45.6337,50.0972,53.8245,59.4443,63.1749,67.7625
